Ligand,Source,SourceID,Affinity,TotalModes,SimScore,SMILES,MW,TPSA,HBD,HBA,RotB,LogP
mol_4560,PubChem,146587179,-7.074,9,17,[H]c1nc2c([H])c([H])c([H])c([H])c2c(-c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])c1[H],219.29,12.89,0,1,2,4.21
mol_2858,PubChem,755094,-7.288,9,11,[H]c1c([H])c2c(c([H])c1F)[C@]([H])(C([H])([H])[H])C([H])([H])C1(N2[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],219.3,12.03,1,1,1,4.06
mol_2670,PubChem,2772082,-7.293,8,0,[H]c1c([H])c2c(c([H])c1F)[C@]([H])(C([H])([H])[H])C([H])([H])C1(N2[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],219.3,12.03,1,1,1,4.06
mol_1725,PubChem,84623799,-7.327,9,17,[H]c1c2c(c([H])c3c1N([H])[C@@]([H])(C(=O)[O-])C([H])([H])C3([H])[H])OC([H])([H])O2,220.2,70.62,1,5,1,-0.11
mol_1945,PubChem,121015176,-7.049,9,28,[H]c1nc2c([H])c([H])c([H])c([H])c2c(-c2n[n-]nc2C#N)c1[H],220.22,76.56,0,4,1,1.52
mol_4072,PubChem,175800652,-7.099,9,17,[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c3c([H])noc3c([H])c([H])c21,220.23,38.92,0,3,0,3.53
mol_2432,PubChem,11543095,-7.096,9,11,[H]c1oc(-c2c([H])c([H])c([H])c([H])c2[H])c(-c2c([H])c([H])c([H])c([H])c2[H])c1[H],220.27,13.14,0,1,2,4.61
mol_698,PubChem,106519497,-7.005,9,39,[H]c1nc2c([H])c([H])c([H])c(-c3[n-]c(=O)c([H])c([H])c3[H])c2c([H])c1[H],221.24,44.06,0,2,1,2.22
mol_1808,PubChem,13734446,-7.173,9,11,[H]c1nc([H])c(-c2c([H])c([H])c([H])c3[n-]c(=O)c([H])c([H])c23)c([H])c1[H],221.24,44.06,0,2,1,2.22
mol_2355,PubChem,175421846,-7.262,9,17,[H]c1nc2c(-c3c([H])c([H])c([H])[n-]c3=O)c([H])c([H])c([H])c2c([H])c1[H],221.24,44.06,0,2,1,2.22
mol_1126,PubChem,137371513,-7.192,9,22,[H]c1nc2c([H])c(-c3c([H])c([H])c([H])[n-]c3=O)c([H])c([H])c2c([H])c1[H],221.24,44.06,0,2,1,2.22
mol_206,PubChem,59371248,-7.115,9,0,[H]c1c(C(=O)C([H])([H])[H])nc2c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c12,221.26,29.96,0,2,2,3.59
mol_1522,PubChem,154939281,-7.16,9,0,[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c12,221.3,12.89,0,1,3,4.51
mol_2675,PubChem,20562890,-7.265,9,0,[H]c1nc2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],221.3,12.89,0,1,3,4.51
mol_810,PubChem,154954906,-7.164,9,6,[H]c1c(C([H])([H])C([H])([H])[H])nc2c(c1[H])c([H])c([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c12,221.3,12.89,0,1,3,4.26
mol_380,PubChem,85812554,-7.371,8,0,[H]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])nc2c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c12,221.3,12.89,0,1,3,4.51
mol_3114,PubChem,57348930,-7.103,9,11,[H]C1=C([H])c2c([H])c3c(c4c([H])c([H])c([H])c1c24)C(=O)OC3=O,222.2,43.37,0,3,0,2.63
mol_2178,PubChem,151155194,-7.209,9,11,[H]c1nc2c([H])c([H])c([H])c([H])c2c([H])c1-n1nnnc1C#N,222.21,80.28,0,5,1,1.08
mol_4626,PubChem,12395207,-7.03,9,6,[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])c1nc(C(=O)[O-])c([H])c([H])c12,222.22,53.02,0,3,1,1.75
mol_2543,PubChem,106519731,-7.151,9,11,[H]c1nc2c([H])c(-c3c([H])n[n-]c(=O)c3[H])c([H])c([H])c2c([H])c1[H],222.23,56.95,0,3,1,1.61
mol_1531,PubChem,106519491,-7.54,9,33,[H]c1nc2c([H])c([H])c([H])c(-c3c([H])n[n-]c(=O)c3[H])c2c([H])c1[H],222.23,56.95,0,3,1,1.61
mol_2131,PubChem,106519502,-7.166,9,17,[H]c1nc(-c2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)c(=O)[n-]c1[H],222.23,56.95,0,3,1,1.61
mol_1947,PubChem,112558892,-7.044,9,11,[H]c1nc(-c2c([H])c([H])nc3c([H])c([H])c([H])c([H])c23)c(=O)[n-]c1[H],222.23,56.95,0,3,1,1.61
mol_1794,PubChem,141069370,-7.092,9,39,[H]C1=N[N-]C(=O)C1=C([H])c1c([H])c([H])c([H])c2nc([H])c([H])c([H])c12,222.23,56.42,0,3,1,2.52
mol_1249,PubChem,106519668,-7.198,9,22,[H]c1nc2c(-c3c([H])n[n-]c(=O)c3[H])c([H])c([H])c([H])c2c([H])c1[H],222.23,56.95,0,3,1,1.61
mol_891,PubChem,102537600,-7.203,9,33,[H]c1nc(=O)[n-]c(-c2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)c1[H],222.23,56.95,0,3,1,1.61
mol_4349,PubChem,112558961,-7.05,9,11,[H]c1nc(-c2c([H])c([H])c([H])c3c([H])c([H])c([H])nc23)c(=O)[n-]c1[H],222.23,56.95,0,3,1,1.61
mol_2090,PubChem,113844650,-7.17,9,22,[H]c1nc([H])c(-c2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)c(=O)[n-]1,222.23,56.95,0,3,1,1.61
mol_2409,PubChem,102537601,-7.108,9,28,[H]c1nc(=O)[n-]c(-c2c([H])c([H])nc3c([H])c([H])c([H])c([H])c23)c1[H],222.23,56.95,0,3,1,1.61
mol_947,PubChem,91555441,-7.312,9,6,[H]C(=O)c1c([H])c([H])c2c(-c3c([H])oc([H])c3[H])c([H])c([H])c([H])c2c1[H],222.24,30.21,0,2,2,3.91
mol_4763,PubChem,21852184,-7.061,9,22,[H]c1c([H])c([H])c2c(c1[H])C(=O)c1c-2c([H])c([H])c2c1C([H])([H])C([H])([H])O2,222.24,26.3,0,2,0,2.83
mol_297,PubChem,157188636,-7.188,9,0,[H]c1c(C(=O)N([H])[H])nc2c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c12,222.25,55.98,1,2,1,2.49
mol_2869,PubChem,134858729,-7.409,9,17,[H]C1=C([H])[C@@]2([H])N([H])c3c(c4c([H])c([H])c([H])c([H])c4n3[H])C([H])([H])[C@@]2([H])C([H])=C1[H],222.29,27.82,2,1,0,3.25
mol_3768,PubChem,3729473,-7.092,9,22,[H]c1c([H])c([H])c(-c2c(C([H])([H])[H])oc3c([H])c([H])c(C([H])([H])[H])c([H])c23)c([H])c1[H],222.29,13.14,0,1,3,4.72
mol_523,PubChem,42640014,-7.012,9,0,[H]c1c([C@@]([H])(N([H])[H])C([H])([H])[H])nc2c(c1[H])c([H])c([H])c1c([H])c([H])c([H])c([H])c12,222.29,38.91,1,2,3,3.41
mol_3702,PubChem,106694986,-7.027,9,11,[H]C1=C(c2c([H])c([H])c([H])c3c([H])c([H])c([H])nc23)C(=O)[N-]C1=O,223.21,61.13,0,3,1,2.06
mol_4650,PubChem,106694984,-7.2,8,25,[H]C1=C(c2c([H])c([H])c([H])c3nc([H])c([H])c([H])c23)C(=O)[N-]C1=O,223.21,61.13,0,3,1,2.06
mol_2359,PubChem,176162726,-7.129,9,39,[H]c1nc2c([H])c([H])c([H])c([H])c2c(-c2c([H])c([H])oc(=O)c2[H])c1[H],223.23,43.1,0,3,1,2.86
mol_4813,PubChem,54516661,-7.079,9,39,[H]C(=C(C#N)C(=O)N([H])[H])c1c([H])c([H])nc2c([H])c([H])c([H])c([H])c12,223.24,79.77,1,3,2,1.63
mol_4108,PubChem,149870132,-7.092,9,22,[H]c1nc2c(-c3c([H])c([H])c([H])c(F)c3[H])c([H])c([H])c([H])c2c([H])c1[H],223.25,12.89,0,1,1,4.04
mol_3612,PubChem,141309372,-7.272,9,17,[H]c1nc2c([H])c([H])c([H])c([H])c2c(-c2c([H])c([H])c([H])c(F)c2[H])c1[H],223.25,12.89,0,1,1,4.04
mol_1060,PubChem,117705000,-7.21,9,11,[H]c1nc2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c(F)c3[H])c2c([H])c1[H],223.25,12.89,0,1,1,4.04
mol_4601,PubChem,168528326,-7.06,9,22,[H]c1oc(-c2c([H])c([H])c([H])c3c([O-])c(C([H])([H])[H])c([H])c([H])c23)c([H])c1[H],223.25,36.2,0,2,2,3.48
